date,product_id,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days,Apparel,Beauty,Electronics,Home,Sports,day_sin,day_cos,month_sin,month_cos,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,is_weekend,quarter,quarter_sin,quarter_cos
2022-06-07,P001,0.04605263157894736,0.7879897013360355,0.12144702842377261,0.423728813559322,0,0.0,1,6,0.9166666666666666,0,0,1,0,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,0.09868421052631578,0.11842105263157894,0.08008213552361393,0.10934205034114534,0.06724003127443312,0.12793552652826362,0,2,1.2246467991473532e-16,-1.0
2022-06-11,P001,0.1118421052631579,0.7988793666362303,0.3178294573643411,0.423728813559322,0,0.0,5,6,0.9166666666666666,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.05921052631578948,0.12499999999999999,0.09650924024640653,0.12026272737355613,0.07349491790461293,0.13039999851873565,1,2,1.2246467991473532e-16,-1.0
2022-07-04,P001,0.07236842105263157,0.8080170262573934,0.2739018087855297,0.423728813559322,0,0.0,0,7,0.9166666666666666,0,0,1,0,0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,0.02631578947368421,0.07894736842105263,0.11088295687885005,0.09980646243549536,0.07818608287724788,0.12436191761440826,0,3,-1.0,-1.8369701987210297e-16
2022-07-21,P001,0.10526315789473685,0.7814246756096965,0.21705426356589147,0.423728813559322,0,0.0,3,7,0.9166666666666666,0,0,1,0,0,0.4338837391175582,-0.900968867902419,-0.4999999999999997,-0.8660254037844388,0.1381578947368421,0.07894736842105263,0.10061601642710474,0.07414683106568057,0.08209538702111019,0.12603298749745293,0,3,-1.0,-1.8369701987210297e-16
2022-07-23,P001,0.12499999999999999,0.7936443479273971,0.1524547803617571,0.423728813559322,0,0.0,5,7,0.9166666666666666,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.09210526315789473,0.14473684210526316,0.11088295687885005,0.09243659482898185,0.09538702111024233,0.1170526674294586,1,3,-1.0,-1.8369701987210297e-16
2022-07-27,P001,0.02631578947368421,0.7795443091820947,0.12661498708010335,0.423728813559322,0,0.0,2,7,0.9166666666666666,0,0,1,0,0,0.9749279121818236,-0.2225209339563143,-0.4999999999999997,-0.8660254037844388,0.039473684210526314,0.14473684210526316,0.10677618069815195,0.10303202811282232,0.09616888193901485,0.11458465876998675,0,3,-1.0,-1.8369701987210297e-16
2022-07-30,P001,0.05263157894736842,0.8081460643713912,0.40826873385012924,0.423728813559322,0,0.0,5,7,0.9166666666666666,0,0,1,0,0,-0.9749279121818236,-0.2225209339563146,-0.4999999999999997,-0.8660254037844388,0.07236842105263157,0.07236842105263157,0.10061601642710474,0.10800866228398297,0.08756841282251754,0.11218865247466178,1,3,-1.0,-1.8369701987210297e-16
2022-08-01,P001,0.06578947368421052,0.8149827136342822,0.3669250645994832,0.423728813559322,0,0.0,0,8,0.9166666666666666,0,0,1,0,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0.04605263157894736,0.09868421052631578,0.10677618069815195,0.10092472484104452,0.08444096950742763,0.11265288860768952,0,3,-1.0,-1.8369701987210297e-16
2022-08-02,P001,0.10526315789473685,0.7771748849156137,0.31007751937984496,0.423728813559322,0,0.0,1,8,0.9166666666666666,0,0,1,0,0,0.7818314824680298,0.6234898018587336,-0.8660254037844385,-0.5000000000000004,0.1118421052631579,0.05921052631578948,0.10472279260780284,0.09774671591893122,0.08600469116497261,0.11404005572602272,0,3,-1.0,-1.8369701987210297e-16
2022-08-08,P001,0.11842105263157894,0.8142237256724206,0.24806201550387597,0.423728813559322,0,0.0,0,8,0.9166666666666666,0,0,1,0,0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,0.07236842105263157,0.02631578947368421,0.11909650924024637,0.10752914995003955,0.09773260359655978,0.10516059886827459,0,3,-1.0,-1.8369701987210297e-16
